numero;id;status;vazia;robo;entregue_auto;origem;destino;carreta;cavalo;via;conclusao;pontos;km_ultimo_ponto_ao_destino;km_maior_aproximacao;h_calado_no_fim;problemas
C-2026-000601;601;Em rota;N;S;N;Cordeirópolis;Cajamar/SP;CYN6H25;TYX9F55;cavalo;;4154;521.8;1.2;73.5;PERDEU O RASTREIO EM ROTA (73h calado, a 522 km do destino)
C-2026-000602;602;Entregue;N;S;N;Uberlândia;Rio de Janeiro/RJ;HOA0E66;EWU0D62;carreta1;2026-09-02 00:00:00;251;199.5;199.5;0.4;FECHOU CONTRA O GPS (a 200 km do destino, aparelho ativo) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000603;603;Aberta;N;S;N;Ibiá;Feira de Santana/BA;QXE8E60;DPF3C52;carreta1;;72;411.5;411.4;113.2;PERDEU O RASTREIO EM ROTA (113h calado, a 411 km do destino)
C-2026-000605;605;Entregue;N;S;N;Uberlândia;Embu das Artes/SP;HNL0A70;TYX9F59;cavalo;2026-09-02 00:00:00;2167;3.3;1.5;0.0;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000607;607;Entregue;N;S;N;Uberlândia;Serra/ES;CZB4J27;MSQ1J73;carreta1;2026-09-02 19:42:34.358935;1601;388.6;388.6;0.0;FECHOU ANTES (chegou a 9 km do destino so depois)
C-2026-000608;608;Entregue;N;S;N;Suzano;Uberlândia/MG;HDI9F41;HIK5A05;carreta1;2026-09-02 10:08:31.980524;288;20.7;20.7;9.3;PERDEU O RASTREIO EM ROTA (9h calado, a 21 km do destino) | FECHOU ANTES (chegou a 1 km do destino so depois)
C-2026-000609;609;Entregue;N;S;N;Suzano;Hidrolândia/GO;HMV3H14;NJZ9B97;carreta1;2026-09-02 19:42:34.357374;292;234.4;234.1;0.5;FECHOU CONTRA O GPS (a 234 km do destino, aparelho ativo)
C-2026-000614;614;Entregue;N;S;N;São José dos Campos;Aparecida de Goiânia/GO;TDJ3H18;QQA7E43;carreta1;2026-09-02 19:42:34.353653;351;251.7;251.7;0.0;FECHOU ANTES (chegou a 1 km do destino so depois)
C-2026-000615;615;Aberta;N;S;N;Uberlândia;Brasília/DF;MWP0H69;HLE0D74;carreta1;;6;57.0;57.0;132.3;PERDEU O RASTREIO EM ROTA (132h calado, a 57 km do destino)
C-2026-000623;623;Em rota;N;S;N;Uberlândia;Serra/ES;TZD5A42;AKD0C26;carreta1;;200;393.8;393.8;73.5;PERDEU O RASTREIO EM ROTA (74h calado, a 394 km do destino)
C-2026-000628;628;Aberta;N;S;N;Seropédica;Uberlândia/MG;HOA0E66;EWU0D62;carreta1;;379;332.1;332.1;73.4;PERDEU O RASTREIO EM ROTA (73h calado, a 332 km do destino)
C-2026-000630;630;Em rota;N;S;N;Resende;Extrema/MG;TZB1D35;AZK2I93;carreta1;;370;21.5;2.0;82.0;PERDEU O RASTREIO EM ROTA (82h calado, a 21 km do destino)
C-2026-000632;632;No destino;N;S;N;Cordeirópolis;Uberlândia/MG;HMV3D38;TDW4G23;carreta1;;2;412.8;412.8;138.0;PERDEU O RASTREIO EM ROTA (138h calado, a 413 km do destino)
C-2026-000634;634;Em rota;N;S;N;Rubiataba;Japeri/RJ;TCE7I47;TDW4E79;carreta1;;498;95.8;95.8;73.5;PERDEU O RASTREIO EM ROTA (74h calado, a 96 km do destino)
C-2026-000636;636;Em rota;N;S;N;Canápolis;Cariacica/ES;QXE0I32;DIL8F42;carreta1;;397;37.1;37.1;73.6;PERDEU O RASTREIO EM ROTA (74h calado, a 37 km do destino)
C-2026-000637;637;Em rota;N;S;N;Uberlândia;Rio de Janeiro/RJ;QXE0I28;HKE0G75;carreta1;;220;191.1;191.0;75.6;PERDEU O RASTREIO EM ROTA (76h calado, a 191 km do destino)
V-2026-000001;639;Entregue;S;S;N;Castanhal;Ananindeua/PA;GSV8C03;QPJ1I60;cavalo;2026-08-28 21:56:56;466;34.4;0.9;0.0;VAZIA SEM SENSOR (a carreta nao tem posicao na janela)
V-2026-000014;652;Entregue;S;S;N;Osasco;Nerópolis/GO;HMV3H14;QOY6F50;carreta1;2026-08-29 00:00:00;51;837.7;837.7;28.0;PERDEU O RASTREIO EM ROTA (28h calado, a 838 km do destino) | FECHOU SEM EVIDENCIA (aparelho calado ha 28h, a 838 km) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental) | VAZIA NAO CONFERE (trajeto 0 km para uma perna de 832 km)
V-2026-000015;653;Entregue;S;S;N;Cajamar;Cordeirópolis/SP;HMV3D38;TDW4G23;carreta1;2026-08-27 18:13:42;32;113.6;10.0;23.6;PERDEU O RASTREIO EM ROTA (24h calado, a 114 km do destino)
V-2026-000019;657;Entregue;S;S;N;Teresina;Uberlândia/MG;HNL0A70;TYX9F59;cavalo;2026-08-22 12:42:41;1767;12.9;0.1;0.0;VAZIA SEM SENSOR (a carreta nao tem posicao na janela)
V-2026-000020;658;Entregue;S;S;N;Teresina;Ananindeua/PA;HNL0A70;TYX9F59;cavalo;2026-08-28 07:53:40;1578;33.0;0.9;0.0;VAZIA SEM SENSOR (a carreta nao tem posicao na janela)
V-2026-000021;659;Entregue;S;S;N;Embu das Artes;Uberlândia/MG;HNL0A70;TYX9F59;cavalo;2026-08-31 20:46:59;1187;117.8;0.0;0.0;VAZIA SEM SENSOR (a carreta nao tem posicao na janela) | VAZIA NAO CONFERE (trajeto 152 km para uma perna de 551 km)
V-2026-000022;660;Entregue;S;S;N;Guarulhos;Extrema/MG;MWP0H69;AVH6F10;carreta1;2026-08-21 04:10:08;2;3.4;3.4;0.0;VAZIA NAO CONFERE (trajeto 0 km para uma perna de 70 km)
V-2026-000035;673;Entregue;S;S;N;Brasília;Uberlândia/MG;QXH6946;EGK6I72;carreta1;2026-08-29 21:30:29;150;31.1;0.0;0.0;VAZIA NAO CONFERE (trajeto 103 km para uma perna de 346 km)
V-2026-000053;691;Entregue;S;S;N;Rio de Janeiro;Juiz de Fora/MG;TZB0J17;AZM6E29;carreta1;2026-08-05 13:44:40;94;28.2;13.0;0.0;VAZIA NAO CONFERE (trajeto 37 km para uma perna de 129 km)
V-2026-000061;699;Entregue;S;S;N;Arujá;Campina Grande/PB;TZC9G24;QPJ1I60;carreta1;2026-08-20 07:53:05;181;25.2;4.9;0.1;VAZIA NAO CONFERE (trajeto 246 km para uma perna de 2116 km)
